id,name,type,rarity,status,trigger,demand,timer,effect,on_fail,currency,scope,score_step,on_grid,state,visual,seam,cost,mode_bans,notes
arrears,Arrears,Notice,rare,idea,passive,,,Drains 5% of your score every 3 seconds while it sits on the board,,rule change,per round,n/a,yes,cardId map,cooldown ring,new contract engine + cardCan,L,none,Cannot be discarded or swapped. The pure-pressure one. Only leaves by being played.
due_today,Due Today,Notice,common,idea,on deadline,Play this card,15s,Wears a real rank and plays like an ordinary card,Takes 1 swap or 1 discard,rule change,per card,n/a,yes,cardId map,cooldown ring,contract engine,S,none,The only Notice that is also a playable card. Good first one to build.
quota_card,Quota Card,Notice,rare,idea,on deadline,Score a Set of 3 anywhere,60s,Clears itself and pays credits,Escalates its 4 neighbours,rule change,whole board,n/a,inert,cardId map,cooldown ring + card mark,handTypesRound,S,none,"Reads a counter the round already keeps, so it needs no new hook. Same trick CHALLENGE_DEFS uses."
under_review,Under Review,Notice,epic,idea,on deadline,Score N points this round,90s,Clears and pays,"Escalates, then spreads to a new neighbour every 20s",rule change,per round,n/a,inert,cardId map,cooldown ring,contract engine,M,none,The spreading one. Needs a cap or it can eat a board. Owner: is boss-only safer?
hands_on_deck,Hands On Deck,Notice,common,idea,on deadline,Score 3 hands anywhere,45s,Clears,-1 discard,rule change,whole board,n/a,inert,cardId map,cooldown ring,handsPlayedRound,S,none,"handsPlayedRound is bumped AFTER scoring, so inside calcScore the current hand is the (n+1)th."
clear_desk,Clear the Desk,Notice,common,idea,on deadline,Discard both cards beside it,30s,Clears and pays credits,Escalates,rule change,adjacent 4-way,n/a,inert,cardId map,card mark,doDiscard,S,none,Demands an ACTION rather than a score. Reads best because the answer is visible on the board.
shuffle_seating,Shuffle Seating,Notice,common,idea,on deadline,Swap it with a neighbour,20s,Clears,-1 swap,rule change,adjacent 4-way,n/a,yes,cardId map,card mark,doSwap,S,none,"Must be swappable, so cardCan must allow swap. Contrast Arrears."
cross_training,Cross-Training,Notice,rare,idea,on deadline,Score a Flush touching it,60s,Clears and buffs the cards used,Escalates,rule change,adjacent 4-way,n/a,inert,cardId map,cooldown ring + card mark,contract engine + hand-detect,M,none,Works in Spectrum: a colour flush is still a flush.
reassignment,Reassignment,Notice,rare,idea,on deadline,Let it sit,2 rounds,Becomes an ordinary card carrying +10 permanent pips,,card buff,per card,n/a,inert,cardId map,cooldown ring,contract engine,S,none,"The payoff Notice. Timer is in ROUNDS, not seconds. Proves the timer column needs a unit."
probation,Probation,Notice,common,idea,on deadline,Survive 3 swaps,3 swaps,Becomes a wild card for one hand,Escalates,board change,per card,n/a,inert,cardId map,cooldown ring,contract engine + swapsUsedRound,M,none,Timer counted in ACTIONS. swapsUsedRound already exists.
escalated,Escalated,Notice,n/a,idea,passive,,until round end,The cell is inert,,rule change,per card,n/a,inert,cardId map,card tint,isCellBlocked,S,none,"What a failed Notice leaves behind. Never offered, only created. Route via isCellBlocked and every existing guard covers it."
temp_pool,The Temp Pool,Event,n/a,idea,between rounds,Let five inert cards sit,2 min each,"All five become the same random rank; one gets a 10s rewind, one 10 credits, one +30 pips, one a replay, one a forced Trick",,card buff,the deck,n/a,inert,cardId map,card mark,events-core x4 + EVENT_REQUIRES,M,none,Owner's five-card idea. Makes Five of a Kind reachable outside Spectrum. Accrued time must survive the card leaving and returning.
reorganisation,Reorganisation,Event,n/a,idea,between rounds,,,Pick three cards from your deck; they draw first next round,,draw order,the deck,n/a,no,cardId map,card mark,drawBias + events-core x4,M,none,The draw-order event. Needs EVENT_REQUIRES so it is never offered with a tiny deck.
temp_agency,Temp Agency,Sleight,legendary,idea,on double tap,,,This Sleight and its whole row become Temp copies of the best rank on the board,,board change,row,n/a,yes,none,card tint,_temp + renderCardAppearance,M,none,STRONGEST IDEA IN THE LIST. A row of Aces is a Five/Six/Seven of a Kind. Capped by HAND_MAX_CARDS = 7.
carbon_copy,Carbon Copy,Sleight,rare,idea,on double tap,,,The card above it becomes a Temp copy of the card below it,,board change,adjacent 4-way,n/a,yes,none,card tint,_temp,S,none,The small version of Temp Agency. Good for proving _temp before building the row one.
floor_plan,Floor Plan,Sleight,rare,idea,on double tap,,,Discards the 3x3 centred on it,,board change,3x3 area,n/a,yes,none,NONE - needs one,"removeAndFall(cells,'discard')",S,none,"removeAndFall already takes an arbitrary cell list, so this is nearly free."
fire_drill,Fire Drill,Sleight,common,idea,on double tap,,,Discards a random 3x3 anywhere on the board,,board change,3x3 area,n/a,yes,none,NONE - needs one,"removeAndFall(cells,'discard')",S,none,RENAMED. 'Spot Check' is already a reward-grid penalty (BAL.spot_check).
neighbourhood,Neighbourhood,Sleight,rare,idea,passive,,,Every card touching it scores +8 pips,,pips,adjacent 8-way,per-card additive,yes,none,card mark,_isTouching,S,none,8-way matters: two swapped cells share no orthogonal neighbour at all (the trap Pivot hit).
team_lead,Team Lead,Sleight,epic,idea,on play,,,Every card touching it takes +1 permanent mult,,card buff,adjacent 8-way,n/a,yes,cardId map,card mark,_isTouching + permMult,S,none,"Say 'scores +1 mult when played', not 'permanently gains'. Flat vs scaling wording rule, r209."
department,Department,Sleight,rare,idea,passive,,,Its whole row scores +6 mult,,mult,row,hand additive,yes,none,line marker,rowColBonuses,S,none,Gets its line visual free on the play board AND the reward grid.
open_plan,Open Plan,Sleight,epic,idea,passive,,,Its column may be selected non-adjacently,,rule change,column,n/a,yes,none,line marker,hand-detect connectivity,L,none,"RISKIEST ONE HERE. Touches connectivity, which findBestHand, the preview and auto-submit all read."
standing_order,Standing Order,Knack,rare,idea,round tick,,every 30s,Forces the Trick in tray slot 1,,force a trick,per round,n/a,no,global counter,cooldown ring,armForcedTrick + trayTrickAt,S,none,"Needs trayTrickAt(n), the one missing helper. Understudy already does this shape for priming."
closing_shift,Closing Shift,Knack,rare,idea,on scored hand,Your first hand of the round,,Forces the LAST Trick in your tray,,force a trick,per round,n/a,no,round-local,toast,armForcedTrick + trayTrickAt,S,none,"Makes tray ORDER a live decision, which turns the Tray Order event into a tool."
delegate,Delegate,Sleight,epic,idea,on double tap,,,Forces the Trick in the tray slot matching this Sleight's column,,force a trick,per hand,n/a,yes,none,toast,armForcedTrick + trayTrickAt,S,none,Board position selects a Trick. Only entity that would link the two.
all_hands,All Hands,Trick,rare,idea,on scored hand,A 5-card hand,,Forces your lowest-tier Trick,,force a trick,per hand,n/a,no,none,toast,forceableTrickIds(),S,none,Only ever draw from forceableTrickIds(). 92 of 176 Tricks can force; the rest pay nothing.
performance_review,Performance Review,Sleight,epic,idea,on play,,,Forces whichever Trick paid you least last round,,force a trick,per hand,n/a,yes,global counter,toast,roundContributions,M,none,Needs last round's ledger kept past the reset. Everything else here is free.
