Type,ID,Name,Rarity,Base bonus (Lv1),Improve option 1,Improve option 2,Improve option 3,Notes,Wiring,Filled by
Trick,overgrowth,Cascade,common,Runs score +10 pips per card,+10 pips per card,+10 pips AND +2 mult per card,,,O1 BAL · O2 code,you
Trick,long_road,Storm,common,Runs score +2 mult per card,+2 mult per card,"any hand holding 3 cards in sequence counts, even when it scores as another hand type",,,O1 BAL · O2 code,Claude
Trick,river_run,Torrent,rare,Runs add +1 Focus per card,+1 Focus per card,"any hand holding 3 cards in sequence counts, even when it scores as another hand type",,,O1 BAL · O2 code,Claude
Trick,ancient_grove,Flash Flood,legendary,Runs of 4+ cards instantly advance Focus to the next threshold,advances 2 thresholds instead of 1,"Runs of 3 qualify (-1 to the length needed, min 3)",,,O1 code · O2 BAL,Claude
Trick,correct_run,Rogue Wave,mythic,"Runs played in correct sequential order score +80 pips and +16 mult, and add +4 Focus, per card","+80 pips, +16 mult and +4 Focus per card",a Run played in exact reverse order also counts,one card may sit out of sequence,,O1 BAL · O2 code · O3 code,Claude
Trick,tide_table,Tide Table,epic,"Runs ×mult, building +×0.75 per Run scored this round",+0.75x to the step,the build carries between rounds instead of resetting,,,O1 BAL · O2 code,Claude
Trick,undertow,Undertow,epic,"Runs ×1.5 pips, plus ×0.5 more per card beyond 3",+0.5x to the base pip multiplier,+0.5x to the per-card step,counts cards beyond 2 instead of beyond 3,,O1 BAL · O2 BAL · O3 code,Claude
Trick,high_water,High Water,epic,"After 3 Runs each round, every Run pauses the clock for its card count in seconds",pauses for double the card count,"arms after 2 Runs instead of 3 (-1 per improvement, min 1)",,,O1 code · O2 code,Claude
Trick,worn_path,Worn Path,common,Straight scores +20 pips,+20 pips,a Run of 4 also counts,,,O1 BAL · O2 code,Claude
Trick,rerun,Rerun,epic,Each replay in a hand multiplies its pips ×0.25 more,+0.25x per replay,"the base play counts as a replay too, so a hand with no replays still gets one step",,,O1 BAL · O2 code,Claude
